,#id,lon,lat,name,elevation,usaf-id,wban-id
0,17,10.0,62.133,FOLLDAL-FREDHEIM,694.0,12500,99999
1,18,-52.783,47.516999999999996,ST JOHNS WEST CLIMATE,110.0,712500,99999
2,33,14.2,45.766999999999996,POSTOJNA,533.0,141120,99999
3,38,-94.71700000000001,56.35,GILLAM AIRPORT,145.0,719120,99999
4,39,10.517000000000001,56.1,SLETTERHAGE FYR,6.0,60730,99999
5,40,-16.117,65.633,GRIMSSTADIR,386.0,40730,99999
6,44,24.566999999999997,65.033,HAILUOTO MARJANIEMI,7.3,28730,99999
7,46,133.733,45.867,DAL'NERECHENSK,101.0,318730,99999
8,64,60.3,56.083,VERHNIJ UFALEJ,399.0,285410,99999
9,68,62.333,59.433,GARI,131.0,280490,99999
10,72,135.188,48.528,NOVY,75.0,317350,99999
11,88,-94.07,58.72,CHURCHILL CLIMATE,29.0,716960,99999
12,96,8.083,47.383,BUCHS-AARAU,389.0,66330,99999
13,97,12.083,45.685,ISTRANA,41.8,160980,99999
14,100,22.55,57.183,STENDE,79.0,263180,99999
15,109,111.23299999999999,62.533,TUOJ-HAYA,259.7,247250,99999
16,113,-56.1,51.383,ST ANTHONY  NFLD,29.0,715580,99999
17,117,89.2,55.533,GGP KATEK,318.8,295580,99999
18,122,-0.8,51.683,HIGH WYCOMBE HQAIR,205.0,36600,99999
19,124,72.933,66.633,NYDA,7.0,233450,99999
20,127,19.85,45.333,NOVI SAD RIMSKI SANCEVI,87.0,131680,99999
21,130,27.633000000000003,62.9,KUOPIO SAVILAHTI,88.3,29550,99999
22,131,27.45,68.433,SAARISELKA KAUNISPAA,438.0,28170,99999
23,132,45.016999999999996,62.233000000000004,VERHNJAJA TOJMA,58.0,227780,99999
24,148,-123.87,49.052,NANAIMO,28.3,718900,99999
25,151,-76.53,64.23,CAPE DORSET CLIMATE,50.0,715750,99999
26,154,-80.6,51.283,MOOSONEE,9.0,713980,99999
27,155,118.26700000000001,56.9,CHARA,711.0,303720,99999
28,160,9.35,53.133,ROTENBURG,61.0,102340,99999
