Id,Label,timeset,rank,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
male0,male0,,1,2,0.545455,0.583333,0
male1,male1,,2,0,0,0,0
male2,male2,,3,1,1,1,51.5
male3,male3,,4,2,0.545455,0.583333,0
male4,male4,,5,2,0.521739,0.541667,0
female0,female0,,10,0,0,0,0
female1,female1,,11,2,0.571429,0.625,0.5
female2,female2,,6,0,0,0,0
female3,female3,,12,2,0.521739,0.541667,0
female4,female4,,9,2,0.521739,0.541667,0
female5,female5,,7,2,0.545455,0.583333,0
female6,female6,,8,2,0.6,0.666667,1.5
female7,female7,,18,2,0.631579,0.708333,2.5
female8,female8,,19,2,0.571429,0.625,0
female9,female9,,20,2,0.6,0.666667,1
female10,female10,,13,0,0,0,0
female11,female11,,14,2,0.545455,0.583333,0
female12,female12,,15,0,0,0,0
female13,female13,,16,0,0,0,0
female14,female14,,17,0,0,0,0
