,elev,population
0,0.6078431372549019,21936.0
1,0.7607843137254902,20427.0
2,0.7647058823529411,32991.0
4,0.49411764705882355,4467.0
5,0.49411764705882355,587.0
6,0.49411764705882355,248.0
7,0.49411764705882355,425.0
9,0.6509803921568628,1053.0
11,0.3176470588235294,254.0
12,0.49411764705882355,1766.0
13,0.49411764705882355,1029.0
15,0.49411764705882355,1324.0
17,0.792156862745098,82.0
18,0.5607843137254902,343.0
19,0.7176470588235294,153.0
20,0.49411764705882355,3243.0
22,0.6627450980392157,422.0
23,0.6941176470588235,13.0
24,0.3176470588235294,1491.0
25,0.7490196078431373,338.0
26,0.27058823529411763,262.0
27,0.8196078431372549,153.0
28,0.9254901960784314,132.0
29,0.9411764705882353,141.0
31,0.49411764705882355,675.0
32,0.6627450980392157,840.0
33,0.4745098039215686,264.0
34,0.9803921568627451,4.0
35,0.6039215686274509,161.0
36,0.792156862745098,11.0
37,0.17647058823529413,534.0
38,0.17647058823529413,115.0
39,0.49411764705882355,1082.0
43,0.4745098039215686,83.0
44,0.6627450980392157,11.0
47,0.8196078431372549,1481.0
51,0.8274509803921568,4.0
52,0.8549019607843137,47.0
53,0.6470588235294118,74.0
56,0.3176470588235294,237.0
57,0.8196078431372549,249.0
58,0.6823529411764706,80.0
59,0.8431372549019608,60.0
60,0.9803921568627451,229.0
61,0.6627450980392157,201.0
62,0.7254901960784313,161.0
63,0.8196078431372549,341.0
65,0.34509803921568627,243.0
66,0.6627450980392157,92.0
67,0.49411764705882355,450.0
68,0.8196078431372549,154.0
69,0.5098039215686274,4.0
70,0.9372549019607843,1312.0
71,0.7372549019607844,552.0
72,0.34509803921568627,566.0
73,0.34509803921568627,2094.0
74,0.596078431372549,399.0
75,0.4745098039215686,569.0
76,0.5372549019607843,25.0
79,0.34509803921568627,173.0
80,0.15294117647058825,340.0
81,0.6470588235294118,995.0
82,0.8549019607843137,209.0
83,0.807843137254902,80.0
84,0.9803921568627451,457.0
85,0.49411764705882355,2069.0
86,0.34509803921568627,1441.0
90,0.6941176470588235,14.0
91,0.7843137254901961,16.0
92,0.7176470588235294,161.0
93,0.8235294117647058,2613.0
94,0.6431372549019608,4.0
95,0.7529411764705882,38.0
96,0.5803921568627451,13.0
97,0.796078431372549,1375.0
98,0.7098039215686275,7740.0
99,0.49411764705882355,414.0
100,0.7764705882352941,183.0
101,0.8901960784313725,856.0
102,0.6352941176470588,133.0
103,0.7215686274509804,141.0
104,0.7058823529411765,1160.0
105,0.49411764705882355,638.0
106,0.34509803921568627,198.0
107,0.9803921568627451,23.0
108,0.6901960784313725,316.0
109,0.27450980392156865,86.0
110,0.8941176470588236,205.0
111,0.7764705882352941,144.0
112,0.8392156862745098,102.0
113,0.17647058823529413,1874.0
114,0.49411764705882355,2842.0
115,0.49411764705882355,207.0
116,0.49411764705882355,774.0
117,0.49411764705882355,82.0
118,0.396078431372549,78.0
119,0.8470588235294118,9.0
120,0.8392156862745098,85.0
121,0.6235294117647059,177.0
122,0.6470588235294118,19569.0
123,0.47843137254901963,877.0
124,0.49411764705882355,122.0
125,0.49411764705882355,164.0
126,0.34509803921568627,382.0
127,0.34509803921568627,965.0
129,0.6627450980392157,171.0
130,0.6392156862745098,9.0
131,0.8509803921568627,289.0
132,0.8784313725490196,52.0
133,0.7568627450980392,120.0
134,0.6509803921568628,1483.0
135,0.8941176470588236,534.0
137,0.49411764705882355,461.0
138,0.17647058823529413,343.0
139,0.49411764705882355,235.0
140,0.3176470588235294,549.0
141,0.4745098039215686,126.0
142,0.7333333333333333,90.0
143,0.6627450980392157,21.0
144,0.611764705882353,41.0
145,0.4745098039215686,42.0
146,0.788235294117647,2126.0
147,0.8196078431372549,10520.0
148,0.9803921568627451,871.0
149,0.8235294117647058,1586.0
150,0.5294117647058824,241.0
151,0.7294117647058823,208.0
